route_id,route_name,trip_start_hour,hourly_trips,estimated_headway_min
1040,IL - Inside Loop,17,4,15.0
1040,IL - Inside Loop,18,4,15.0
1040,IL - Inside Loop,19,4,15.0
1040,IL - Inside Loop,20,4,15.0
1040,IL - Inside Loop,21,3,20.0
1050,ML - Mesa Loop,17,6,10.0
1050,ML - Mesa Loop,18,6,10.0
1050,ML - Mesa Loop,19,4,15.0
1050,ML - Mesa Loop,20,2,30.0
1050,ML - Mesa Loop,21,2,30.0
1030,OL - Outside Loop,17,4,15.0
1030,OL - Outside Loop,18,4,15.0
1030,OL - Outside Loop,19,3,20.0
1030,OL - Outside Loop,20,2,30.0
1030,OL - Outside Loop,21,2,30.0
1010,R - Regents Express,17,6,10.0
1010,R - Regents Express,18,5,12.0
1010,R - Regents Express,19,3,20.0
1010,R - Regents Express,20,3,20.0
1010,R - Regents Express,21,3,20.0
1020,S - SIO Shuttle,17,4,15.0
1020,S - SIO Shuttle,18,4,15.0
1020,S - SIO Shuttle,19,3,20.0
1020,S - SIO Shuttle,20,2,30.0
