stop_id,stop_name,stop_lat,stop_lon,total_visits,evening_visits,evening_coverage_rate,routes_serving_stop
3055,Nierenberg Hall,32.869245,-117.251025,53,13.0,0.24528301886792453,S - SIO Shuttle
3065,Coast Apartments (South),32.86901,-117.246914,53,13.0,0.24528301886792453,S - SIO Shuttle
12284,Vaughan Hall,32.865726,-117.252189,53,13.0,0.24528301886792453,S - SIO Shuttle
11528,Coast Apartments (West),32.869563,-117.248512,53,13.0,0.24528301886792453,S - SIO Shuttle
11850,IGPP,32.867439,-117.252156,53,13.0,0.24528301886792453,S - SIO Shuttle
3070,Expedition Wy & Capricorn Ln,32.870854,-117.243758,53,13.0,0.24528301886792453,S - SIO Shuttle
3005,UCSD Extended Studies Building (North),32.871886,-117.234716,53,13.0,0.24528301886792453,S - SIO Shuttle
11873,La Jolla Shores Dr & Inyaha Ln,32.874076,-117.244956,53,13.0,0.24528301886792453,S - SIO Shuttle
3040,Eckart Building / Hubbs Hall,32.866324,-117.252712,53,13.0,0.24528301886792453,S - SIO Shuttle
3045,Scripps Seaside Forum / Beach,32.865352,-117.253931,53,13.0,0.24528301886792453,S - SIO Shuttle
11852,Southwest Fisheries,32.86973,-117.251695,53,13.0,0.24528301886792453,S - SIO Shuttle
3060,Birch Aquarium,32.866286,-117.250312,53,13.0,0.24528301886792453,S - SIO Shuttle
9919,P703 / Regents Parking Lots,32.879802,-117.220002,162,40.0,0.24691358024691357,R - Regents Express
9914,P785 Parking Lot,32.878701,-117.220433,81,20.0,0.24691358024691357,R - Regents Express
3510,UCSD Health La Jolla Trolley (North),32.882449,-117.223832,81,20.0,0.24691358024691357,R - Regents Express
